Voltage Range: ,0.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,10080,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
114.3960, 0.65, 1.90, 0.62, 1.91, 0.91, 0.10, 0.48, 1.76, 0.55, 2.09, 0.77, -0.01, 0.47, 2.17, 0.74, 1.63, 8.0131, 7.7278, 0.5993, 5.5287, 7.5201, -0.0354, 6.7187, 7.8951, 1
117.3300, 0.65, 1.83, 0.60, 2.00, 0.90, 0.10, 0.48, 1.76, 0.56, 2.05, 0.74, -0.00, 0.47, 2.20, 0.74, 1.69, 7.7321, 7.8436, 0.5842, 5.5172, 7.4135, -0.0059, 6.7891, 8.1779, 1
120.2640, 0.67, 1.81, 0.60, 1.97, 0.91, 0.13, 0.48, 1.84, 0.58, 2.04, 0.72, -0.00, 0.47, 2.20, 0.74, 1.66, 7.8255, 7.6693, 0.7937, 5.8016, 7.6615, -0.0010, 6.8008, 8.0620, 1
123.1980, 0.67, 1.80, 0.60, 1.99, 0.93, 0.12, 0.48, 1.82, 0.58, 2.06, 0.74, -0.02, 0.47, 2.15, 0.74, 1.68, 7.8488, 7.7792, 0.7432, 5.7287, 7.7658, -0.0804, 6.6481, 8.1234, 1
126.1330, 0.69, 1.73, 0.60, 1.98, 0.96, 0.12, 0.48, 1.82, 0.58, 2.08, 0.76, -0.04, 0.47, 2.11, 0.74, 1.65, 7.7784, 7.7210, 0.7520, 5.7244, 7.8461, -0.1790, 6.5196, 7.9722, 1
129.0660, 0.71, 1.66, 0.60, 1.93, 0.98, 0.12, 0.48, 1.84, 0.58, 2.13, 0.74, -0.04, 0.47, 2.10, 0.74, 1.64, 7.6793, 7.5254, 0.7691, 5.7752, 8.0401, -0.1903, 6.4982, 7.9470, 1
132.0000, 0.74, 1.69, 0.62, 1.84, 0.97, 0.14, 0.48, 1.79, 0.58, 2.15, 0.72, -0.01, 0.47, 2.08, 0.74, 1.64, 8.1404, 7.4066, 0.8605, 5.6342, 8.1437, -0.0317, 6.4431, 7.9428, 1
134.9350, 0.74, 1.65, 0.64, 1.79, 0.99, 0.14, 0.48, 1.73, 0.58, 2.09, 0.74, -0.00, 0.47, 2.11, 0.74, 1.62, 7.9750, 7.4749, 0.8944, 5.4451, 7.9007, -0.0053, 6.5370, 7.8614, 1
137.8690, 0.72, 1.76, 0.63, 1.88, 1.01, 0.12, 0.48, 1.76, 0.58, 2.03, 0.76, -0.03, 0.47, 2.14, 0.74, 1.67, 8.2806, 7.6683, 0.8084, 5.5267, 7.6796, -0.1665, 6.6042, 8.0900, 1
140.8020, 0.70, 1.76, 0.60, 1.96, 1.03, 0.12, 0.48, 1.78, 0.60, 2.04, 0.74, -0.02, 0.47, 2.14, 0.74, 1.68, 8.0153, 7.7130, 0.8097, 5.5845, 7.9715, -0.1080, 6.5972, 8.1281, 1
143.7370, 0.72, 1.74, 0.62, 1.91, 1.06, 0.12, 0.48, 1.81, 0.60, 2.06, 0.72, -0.02, 0.47, 2.07, 0.74, 1.63, 8.1233, 7.7159, 0.8256, 5.7070, 8.0857, -0.0956, 6.4080, 7.8923, 1
146.6710, 0.74, 1.64, 0.64, 1.84, 1.08, 0.10, 0.48, 1.82, 0.60, 2.06, 0.70, -0.00, 0.47, 2.06, 0.74, 1.64, 7.8852, 7.6827, 0.7261, 5.7364, 8.0968, -0.0159, 6.3766, 7.9337, 1
149.6050, 0.76, 1.64, 0.66, 1.79, 1.06, 0.08, 0.48, 1.75, 0.60, 2.03, 0.67, -0.02, 0.47, 2.11, 0.74, 1.64, 8.1461, 7.7308, 0.5814, 5.5241, 7.9753, -0.0751, 6.5259, 7.9406, 1
