photo__80p__p1__0.8Sun__Rv__scan0	photo__80p__p1__0.8Sun__Rv__scan0	photo__80p__p1__0.8Sun__Fw__scan0	photo__80p__p1__0.8Sun__Fw__scan0	photo__80p__p2__0.8Sun__Rv__scan0	photo__80p__p2__0.8Sun__Rv__scan0	photo__80p__p2__0.8Sun__Fw__scan0	photo__80p__p2__0.8Sun__Fw__scan0	photo__80p__p3__0.8Sun__Rv__scan0	photo__80p__p3__0.8Sun__Rv__scan0	photo__80p__p3__0.8Sun__Fw__scan0	photo__80p__p3__0.8Sun__Fw__scan0	photo__80p__p4__0.8Sun__Rv__scan0	photo__80p__p4__0.8Sun__Rv__scan0	photo__80p__p4__0.8Sun__Fw__scan0	photo__80p__p4__0.8Sun__Fw__scan0	photo__80p__p5__0.8Sun__Rv__scan0	photo__80p__p5__0.8Sun__Rv__scan0	photo__80p__p5__0.8Sun__Fw__scan0	photo__80p__p5__0.8Sun__Fw__scan0	photo__80p__p6__0.8Sun__Rv__scan0	photo__80p__p6__0.8Sun__Rv__scan0	photo__80p__p6__0.8Sun__Fw__scan0	photo__80p__p6__0.8Sun__Fw__scan0	photo__80p__p7__0.8Sun__Rv__scan0	photo__80p__p7__0.8Sun__Rv__scan0	photo__80p__p7__0.8Sun__Fw__scan0	photo__80p__p7__0.8Sun__Fw__scan0	photo__80p__p8__0.8Sun__Rv__scan0	photo__80p__p8__0.8Sun__Rv__scan0	photo__80p__p8__0.8Sun__Fw__scan0	photo__80p__p8__0.8Sun__Fw__scan0
0.953587	-0.0025078125	0.252212	-0.00790625	0.950944	0.00559375	0.245868	0.0062656249999999995	0.952731	-0.0716328125	0.247678	-0.02371875	0.952744	-0.73128125	0.250284	-0.1841484375	0.954524	-13.2988671875	0.247709	-3.453546875	0.964677	-75.150125	0.235642	-18.310507812500003	0.255718	-390.42882031249997	0.133568	-203.61534375	0.860062	-390.60303125	0.249883	13.3987421875
0.939001	0.022078125	0.257027	-0.005203125	0.941204	-0.0070390625	0.260024	-0.0038593749999999995	0.93848	-0.0658515625	0.257282	-0.0421328125	0.938211	-0.7356171875	0.26024	-0.20043750000000002	0.941913	-13.1133671875	0.25617	-3.5590156250000002	0.952436	-74.2070234375	0.249737	-19.413843749999998	0.255943	-390.7414765625	0.144384	-220.1968125	0.85998	-390.61603906249996	0.258752	13.354781249999998
0.929151	-0.0072343749999999995	0.271504	0.000484375	0.926974	0.0104140625	0.274726	0.00453125	0.928501	-0.07703125000000001	0.271222	-0.031046875	0.929278	-0.7407265624999999	0.27026	-0.2357265625	0.929823	-12.9486953125	0.268456	-3.7426796875	0.940455	-73.2675	0.25902	-20.139140625	0.255966	-390.7444765625	0.155494	-237.17636718749998	0.859921	-390.606875	0.267644	13.293078125
0.914642	0.0035703124999999997	0.285904	0.0025078125	0.916923	-0.0230390625	0.279564	-0.0072343749999999995	0.919353	-0.0552421875	0.285832	-0.0161015625	0.920103	-0.71315625	0.284242	-0.2277265625	0.921583	-12.8319453125	0.280828	-3.89896875	0.928359	-72.3469609375	0.270766	-21.059578124999998	0.255681	-390.3959296875	0.165909	-253.11746875	0.859855	-390.61124218749995	0.285334	13.1314921875
0.905102	0.0075234375	0.295719	-0.004046875	0.907807	-0.00038281249999999996	0.298862	0.0088671875	0.904563	-0.05553125	0.295176	-0.0105078125	0.901529	-0.7087187500000001	0.293488	-0.22984375	0.905285	-12.6088515625	0.297224	-4.1219609375	0.916353	-71.3895078125	0.282638	-21.9996875	0.255936	-390.7500625	0.176519	-269.393609375	0.859777	-390.58364843749996	0.294036	13.057640625
0.895149	0.011375	0.305379	0.015617187499999999	0.888345	0.0021171874999999997	0.30837	-0.0036640625000000002	0.894649	-0.0812734375	0.304774	-0.0195703125	0.896758	-0.7011953125	0.30754	-0.23090624999999998	0.897323	-12.492484375	0.305261	-4.235828124999999	0.904359	-70.4643359375	0.294814	-22.9232109375	0.25571	-390.39700781249996	0.187498	-286.1939453125	0.859718	-390.61603906249996	0.306798	12.905890625
0.880478	-0.00578125	0.319942	-0.000578125	0.88382	0.0001953125	0.318408	0.0155234375	0.88032	-0.0829140625	0.32372	-0.014171875	0.88335	-0.679796875	0.320815	-0.25896093750000004	0.881052	-12.279703125	0.313734	-4.3617421875	0.892631	-69.5572109375	0.306846	-23.88828125	0.255944	-390.7538203125	0.197956	-302.24709375	0.859661	-390.615375	0.315376	12.8111171875
0.865871	0.0029921874999999996	0.32965	0.0010625	0.869482	-0.0072343749999999995	0.327752	0.0	0.866018	-0.07028125	0.328401	-0.031046875	0.868629	-0.6819140625	0.330121	-0.2567421875	0.872595	-12.153984374999999	0.330156	-4.5982343750000005	0.883081	-68.81426562499999	0.321473	-25.010796875	0.255702	-390.3959296875	0.209074	-319.22172656249995	0.859571	-390.64071875	0.327321	12.637578125
0.860758	0.0196640625	0.34395	0.014656250000000001	0.859727	-0.018320312499999998	0.347202	-0.008	0.861161	-0.0596796875	0.342475	-0.021500000000000002	0.85401	-0.680859375	0.339393	-0.2741953125	0.86053	-11.995773437499999	0.342491	-4.7587578125	0.869223	-67.709390625	0.331121	-25.7645390625	0.255894	-390.7374375	0.219902	-335.8609375	0.859552	-390.640546875	0.343703	12.371679687499999
0.845959	-0.0158125	0.358531	-0.005015625	0.84445	-0.0014453125	0.352187	-0.0022187500000000002	0.846798	-0.075203125	0.351779	-0.0229453125	0.849547	-0.6551171875	0.357887	-0.2766015625	0.84854	-11.8139375	0.350879	-4.8927734375	0.859736	-66.9692421875	0.343521	-26.724703124999998	0.255926	-390.7582421875	0.230704	-352.4224765625	0.859213	-389.54260156249995	0.351482	12.221375
