photo__20p__p1__0.2Sun__Rv__scan0	photo__20p__p1__0.2Sun__Rv__scan0	photo__20p__p1__0.2Sun__Fw__scan0	photo__20p__p1__0.2Sun__Fw__scan0	photo__20p__p2__0.2Sun__Rv__scan0	photo__20p__p2__0.2Sun__Rv__scan0	photo__20p__p2__0.2Sun__Fw__scan0	photo__20p__p2__0.2Sun__Fw__scan0	photo__20p__p3__0.2Sun__Rv__scan0	photo__20p__p3__0.2Sun__Rv__scan0	photo__20p__p3__0.2Sun__Fw__scan0	photo__20p__p3__0.2Sun__Fw__scan0	photo__20p__p4__0.2Sun__Rv__scan0	photo__20p__p4__0.2Sun__Rv__scan0	photo__20p__p4__0.2Sun__Fw__scan0	photo__20p__p4__0.2Sun__Fw__scan0	photo__20p__p5__0.2Sun__Rv__scan0	photo__20p__p5__0.2Sun__Rv__scan0	photo__20p__p5__0.2Sun__Fw__scan0	photo__20p__p5__0.2Sun__Fw__scan0	photo__20p__p6__0.2Sun__Rv__scan0	photo__20p__p6__0.2Sun__Rv__scan0	photo__20p__p6__0.2Sun__Fw__scan0	photo__20p__p6__0.2Sun__Fw__scan0	photo__20p__p7__0.2Sun__Rv__scan0	photo__20p__p7__0.2Sun__Rv__scan0	photo__20p__p7__0.2Sun__Fw__scan0	photo__20p__p7__0.2Sun__Fw__scan0	photo__20p__p8__0.2Sun__Rv__scan0	photo__20p__p8__0.2Sun__Rv__scan0	photo__20p__p8__0.2Sun__Fw__scan0	photo__20p__p8__0.2Sun__Fw__scan0
1.164086	-0.015617187499999999	0.033313	0.00453125	1.162155	-0.001640625	0.034409	-0.001640625	1.164803	-0.0995	0.034315	-0.0031796875000000002	1.168618	-0.9030859375	0.036578	-0.030851562500000002	1.167726	-16.2429765625	0.033521	-0.45833593749999996	1.176603	-91.6888828125	0.022882	-1.7392578124999998	0.255799	-390.70792187499995	-0.049971	77.6641328125	0.861135	-390.83007031249997	0.037044	3.6084140624999996
1.149538	-0.0104140625	0.048176	-0.014171875	1.157389	0.005976562499999999	0.049531	-0.0065546875	1.155005	-0.112515625	0.049179	-0.01590625	1.149826	-0.8912265625	0.051667	-0.06854687500000001	1.15543	-16.08871875	0.046227	-0.6466328124999999	1.166941	-90.9620390625	0.035357	-2.6980703125	0.25582	-390.71033593749996	-0.040862	63.697523437499996	0.860995	-390.4713359375	0.046867	3.609828125
1.144632	0.010218749999999999	0.058484	0.0135	1.138089	-0.018796875	0.05462	-0.0022187500000000002	1.145433	-0.08580468749999999	0.059319	0.0010625	1.145208	-0.8998984375	0.056687	-0.0405859375	1.142825	-15.92365625	0.054647	-0.7576953125	1.152605	-89.830359375	0.047622	-3.6644921875	0.255797	-390.69721093749996	-0.0317	49.638374999999996	0.86099	-390.832109375	0.061654	3.6094453125
1.129364	-0.00115625	0.073374	-0.005109374999999999	1.133426	0.004046875	0.070008	0.0054921875	1.125571	-0.1021015625	0.069181	0.0056875	1.131578	-0.8651953124999999	0.072409	-0.0496484375	1.134687	-15.815195312499998	0.07185	-0.9898515625000001	1.14291	-89.0815390625	0.057509	-4.4291328125	0.25582	-390.70117187499994	-0.02192	34.657421875	0.860837	-390.49747656249997	0.066646	3.6015390624999997
1.119515	-0.0122421875	0.083315	-0.0223671875	1.118783	-0.0241015625	0.084871	0.003953125	1.120899	-0.084265625	0.079033	-0.018796875	1.117534	-0.8601796875000001	0.082261	-0.057265624999999994	1.118415	-15.572335937499998	0.080234	-1.0998593749999999	1.128362	-87.941671875	0.069792	-5.3847578125	0.255787	-390.696078125	-0.012599	20.3694140625	0.860866	-390.852828125	0.081393	3.6021171875
1.104939	0.000484375	0.093545	-0.007132812499999999	1.104342	-0.0154296875	0.09503	0.009640625	1.106462	-0.07143749999999999	0.099094	-0.005109374999999999	1.108144	-0.875125	0.092448	-0.0699921875	1.110059	-15.478046875	0.088556	-1.2465937500000002	1.118773	-87.19390625	0.081994	-6.346265625	0.255775	-390.699453125	-0.003224	5.9501015624999996	0.860804	-390.85524999999996	0.096183	3.6001875
1.095513	-0.0132109375	0.103764	0.0018281249999999999	1.09461	-0.000578125	0.104807	-0.015617187499999999	1.096869	-0.0784765625	0.10428	-0.005015625	1.094422	-0.869046875	0.107697	-0.0637265625	1.09788	-15.288210937499999	0.105577	-1.4617890624999998	1.106617	-86.256015625	0.09436	-7.3252265625	0.255797	-390.7007890625	0.007374	-10.2515	0.860623	-390.5085625	0.105981	3.5964296875
1.080843	0.0070390625	0.118295	0.0021171874999999997	1.085126	-0.0020234375	0.120192	0.0058828125	1.077584	-0.0880234375	0.119124	-0.01234375	1.085422	-0.8492890625	0.117879	-0.095734375	1.085377	-15.1263359375	0.114063	-1.5767109375	1.094554	-85.319578125	0.106556	-8.2540546875	0.25578	-390.6805390625	0.017153	-25.244117187500002	0.860665	-390.857953125	0.120576	3.5982578125
1.070962	-0.0106015625	0.128738	0.0127265625	1.070664	0.013015625	0.13027	-0.0121484375	1.072813	-0.078	0.129455	0.003375	1.0718	-0.83675	0.127736	-0.1075	1.073059	-14.956460937500001	0.13095	-1.7958515624999998	1.084901	-84.53642968749999	0.11648	-9.034984374999999	0.255808	-390.69916406249996	0.027058	-40.4082421875	0.860516	-390.484640625	0.125375	3.594015625
1.061154	0.010703124999999999	0.143168	0.0035703124999999997	1.061207	-0.021500000000000002	0.140499	-0.0044375000000000005	1.058654	-0.0760703125	0.139598	0.00038281249999999996	1.057592	-0.8356953125	0.143101	-0.113765625	1.060827	-14.767499999999998	0.139162	-1.9515546874999998	1.070277	-83.41825	0.131223	-10.1719609375	0.255817	-390.68749218749997	0.037117	-55.839921874999995	0.860528	-390.8714296875	0.144853	3.6074140625
