photo__0p__p1__Dark__Rv__scan0	photo__0p__p1__Dark__Rv__scan0	photo__0p__p1__Dark__Fw__scan0	photo__0p__p1__Dark__Fw__scan0	photo__0p__p2__Dark__Rv__scan0	photo__0p__p2__Dark__Rv__scan0	photo__0p__p2__Dark__Fw__scan0	photo__0p__p2__Dark__Fw__scan0	photo__0p__p3__Dark__Rv__scan0	photo__0p__p3__Dark__Rv__scan0	photo__0p__p3__Dark__Fw__scan0	photo__0p__p3__Dark__Fw__scan0	photo__0p__p4__Dark__Rv__scan0	photo__0p__p4__Dark__Rv__scan0	photo__0p__p4__Dark__Fw__scan0	photo__0p__p4__Dark__Fw__scan0	photo__0p__p5__Dark__Rv__scan0	photo__0p__p5__Dark__Rv__scan0	photo__0p__p5__Dark__Fw__scan0	photo__0p__p5__Dark__Fw__scan0	photo__0p__p6__Dark__Rv__scan0	photo__0p__p6__Dark__Rv__scan0	photo__0p__p6__Dark__Fw__scan0	photo__0p__p6__Dark__Fw__scan0	photo__0p__p7__Dark__Rv__scan0	photo__0p__p7__Dark__Rv__scan0	photo__0p__p7__Dark__Fw__scan0	photo__0p__p7__Dark__Fw__scan0	photo__0p__p8__Dark__Rv__scan0	photo__0p__p8__Dark__Rv__scan0	photo__0p__p8__Dark__Fw__scan0	photo__0p__p8__Dark__Fw__scan0
0.953856	0.0049140625	0.247359	-0.015328125000000001	0.950754	-0.0133046875	0.245584	0.0111875	0.952893	-0.0716328125	0.247514	-0.040976562499999994	0.947574	-0.7494062499999999	0.250349	-0.1576328125	0.953927	-13.2871015625	0.247249	-3.4262578125	0.964285	-75.14800000000001	0.235254	-18.308101562500003	0.255732	-390.6529765625	0.131676	-200.77795312499998	0.860974	-390.8158984375	0.249604	-0.018796875
0.939019	0.002796875	0.25725	0.012531249999999999	0.941305	0.0206328125	0.259827	-0.0106015625	0.93839	-0.07143749999999999	0.257156	-0.0225625	0.942571	-0.7538359374999999	0.260327	-0.1984140625	0.945743	-13.182109375	0.255382	-3.55140625	0.952265	-74.1921796875	0.247096	-19.2211171875	0.255752	-390.666359375	0.142422	-217.25732812500002	0.860919	-390.8174375	0.259504	-0.003953125
0.92919	-0.013398437499999999	0.271643	0.009546875	0.92685	9.375e-05	0.269565	-0.0053046875	0.928626	-0.084453125	0.27099	-0.0250703125	0.92898	-0.7219296875	0.270277	-0.206609375	0.929364	-12.9366484375	0.267707	-3.7269687499999997	0.94009	-73.2630625	0.259028	-20.123234375	0.255714	-390.6751484375	0.153492	-234.227828125	0.860893	-390.8173515625	0.269192	-0.005015625
0.919786	0.0104140625	0.281433	0.0024140625	0.91706	-0.019765625000000002	0.284212	0.0037578125	0.919608	-0.047242187500000005	0.280509	-0.023140624999999998	0.91967	-0.7238515624999999	0.2793	-0.22386718749999998	0.921135	-12.83271875	0.280227	-3.90021875	0.928217	-72.3124453125	0.270655	-21.04540625	0.25576	-390.6506484375	0.164266	-250.73592968750003	0.860855	-390.8204375	0.283532	-0.020539062499999997
0.904771	-0.0031796875000000002	0.295843	0.0064609375000000005	0.907575	-0.0224609375	0.293914	0.0171640625	0.904506	-0.0812734375	0.295017	-0.0225625	0.906039	-0.71103125	0.293336	-0.226375	0.904998	-12.602484375	0.292546	-4.07346875	0.918447	-71.5673828125	0.282546	-22.00421875	0.255717	-390.6572265625	0.174778	-266.8873046875	0.8608	-390.82765624999996	0.292977	-0.021789062499999998
0.890123	-0.0014453125	0.305119	0.0002890625	0.893146	-0.005976562499999999	0.303447	-0.0077109375	0.889827	-0.0805	0.304579	-0.0078125	0.892007	-0.6811484375	0.307059	-0.2522109375	0.896989	-12.501640624999999	0.304678	-4.24903125	0.906642	-70.64867968749999	0.292358	-22.7365546875	0.255754	-390.6648203125	0.185859	-283.807953125	0.860754	-390.8175546875	0.307605	-0.0592890625
0.885006	-9.375e-05	0.319718	-0.014171875	0.879051	-0.014171875	0.317963	0.0036640625000000002	0.885158	-0.0552421875	0.318454	-0.03509375	0.882846	-0.70640625	0.31635	-0.2351484375	0.880609	-12.27796875	0.313019	-4.3459296875	0.892229	-69.52395312499999	0.306862	-23.8586875	0.255735	-390.658359375	0.196313	-299.8561796875	0.860739	-390.8084765625	0.317145	-0.0602578125
0.865657	0.0009609375000000001	0.329479	0.00453125	0.869393	-0.0105078125	0.332379	-0.0177421875	0.866209	-0.0586171875	0.328039	-0.0245859375	0.868423	-0.68046875	0.329877	-0.2652265625	0.872301	-12.169796875	0.329576	-4.5747109375	0.882669	-68.7880390625	0.316463	-24.62978125	0.255744	-390.6303046875	0.207274	-316.6758984375	0.860656	-390.8216015625	0.326593	-0.085515625
0.860948	-0.003953125	0.33901	0.00578125	0.859904	-0.0114765625	0.33743	-0.010125	0.861243	-0.070765625	0.342212	-0.03625	0.858759	-0.6683203124999999	0.339309	-0.26802343749999996	0.860498	-11.9663671875	0.337638	-4.720390625	0.868781	-67.6706328125	0.328822	-25.5638125	0.255737	-390.646015625	0.218219	-333.4372578125	0.860645	-390.825359375	0.340603	-0.13025
0.846262	-0.001734375	0.353646	0.0021171874999999997	0.844305	-0.00578125	0.35678	-0.0041484375	0.846825	-0.0546640625	0.351736	-0.0352890625	0.844214	-0.65665625	0.353054	-0.262046875	0.847969	-11.804296875	0.35024	-4.876578125	0.859438	-66.9458203125	0.340866	-26.544320312500002	0.255746	-390.6555625	0.229052	-350.118234375	0.860361	-389.74399999999997	0.354287	-0.186265625
