D1__testMartin__p1__1.0Sun__Rv__scan0	D1__testMartin__p1__1.0Sun__Rv__scan0	D1__testMartin__p1__1.0Sun__Fw__scan0	D1__testMartin__p1__1.0Sun__Fw__scan0	D1__testMartin__p2__1.0Sun__Rv__scan0	D1__testMartin__p2__1.0Sun__Rv__scan0	D1__testMartin__p2__1.0Sun__Fw__scan0	D1__testMartin__p2__1.0Sun__Fw__scan0	D1__testMartin__p3__1.0Sun__Rv__scan0	D1__testMartin__p3__1.0Sun__Rv__scan0	D1__testMartin__p3__1.0Sun__Fw__scan0	D1__testMartin__p3__1.0Sun__Fw__scan0	D1__testMartin__p4__1.0Sun__Rv__scan0	D1__testMartin__p4__1.0Sun__Rv__scan0	D1__testMartin__p4__1.0Sun__Fw__scan0	D1__testMartin__p4__1.0Sun__Fw__scan0	D1__testMartin__p5__1.0Sun__Rv__scan0	D1__testMartin__p5__1.0Sun__Rv__scan0	D1__testMartin__p5__1.0Sun__Fw__scan0	D1__testMartin__p5__1.0Sun__Fw__scan0	D1__testMartin__p6__1.0Sun__Rv__scan0	D1__testMartin__p6__1.0Sun__Rv__scan0	D1__testMartin__p6__1.0Sun__Fw__scan0	D1__testMartin__p6__1.0Sun__Fw__scan0	D1__testMartin__p7__1.0Sun__Rv__scan0	D1__testMartin__p7__1.0Sun__Rv__scan0	D1__testMartin__p7__1.0Sun__Fw__scan0	D1__testMartin__p7__1.0Sun__Fw__scan0	D1__testMartin__p8__1.0Sun__Rv__scan0	D1__testMartin__p8__1.0Sun__Rv__scan0	D1__testMartin__p8__1.0Sun__Fw__scan0	D1__testMartin__p8__1.0Sun__Fw__scan0
1.025092	0.00038281249999999996	0.175819	0.0060703125	1.022799	0.00453125	0.178495	0.016968749999999998	1.036757	1.2122734375	0.173486	19.40359375	1.02764	0.0044375000000000005	0.179881	-0.0022187500000000002	1.019992	-0.0048203125	0.175052	-0.00453125	1.034461	2.5631874999999997	0.176361	19.5480234375	1.039382	-0.02940625	0.176569	18.7605078125	1.022511	0.0086796875	0.176352	-0.0081015625
1.010443	-0.00790625	0.190835	0.01821875	1.007952	-0.0111875	0.188261	-0.012531249999999999	1.02483	2.1378203125	0.187372	19.31971875	1.00907	-0.0081953125	0.184898	-0.0001953125	1.015248	0.0188984375	0.19034	0.01359375	1.02451	3.2223515625	0.185839	19.5286171875	1.025796	1.0608125	0.186055	18.736953125	1.007475	-0.015617187499999999	0.186327	-0.016968749999999998
1.000571	0.0014453125	0.200533	-0.023906249999999997	1.003364	0.005976562499999999	0.198552	0.0030859375	1.009974	3.21646875	0.201088	19.231499999999997	0.999684	-0.014171875	0.200639	0.011953124999999998	1.00042	-0.021695312499999998	0.200142	-0.016968749999999998	1.009243	4.2734296875	0.200118	19.5482734375	1.014352	2.003421875	0.20046	18.668796875	1.002512	-0.0138828125	0.201369	0.011085937499999999
0.986093	0.0062656249999999995	0.21108	0.00665625	0.988916	-0.0035703124999999997	0.213348	-0.0036640625000000002	0.999659	3.8960703125	0.210211	19.159546875	0.990088	-0.0020234375	0.210796	0.0094453125	0.986118	-0.010796875	0.210541	0.0090625	0.999055	4.949171875	0.209731	19.5065	1.002896	2.9156640625	0.210327	18.644085937499998	0.98767	-0.0008671875	0.211049	-0.009546875
0.976122	-0.004046875	0.220437	0.00665625	0.974046	-0.008578125	0.223383	0.0036640625000000002	0.98662	4.7320546875	0.22367	19.07075	0.976206	0.0047265625	0.225964	-0.0070390625	0.976704	0.0076171875	0.220461	0.00675	0.986029	5.7510234375	0.22393	19.481140625000002	0.988219	3.9365625	0.22457	18.5801640625	0.977992	0.002890625	0.226559	0.0015390624999999998
0.966402	0.007132812499999999	0.234885	0.00453125	0.964199	-0.002703125	0.233961	0.00896875	0.973195	5.57584375	0.232921	18.988390625	0.962158	-0.0013515625	0.236318	0.0030859375	0.96176	-0.00346875	0.240746	0.004046875	0.975399	6.379140625	0.238278	19.4363125	0.975851	4.8248984375	0.234396	18.5325078125	0.962959	-0.005203125	0.236247	-0.0077109375
0.951305	0.0021171874999999997	0.249359	-0.001734375	0.95474	0.0049140625	0.248688	0.017351562499999997	0.96203	6.186609375	0.24672	18.904406249999997	0.9529	-0.0069453125	0.246663	-0.00665625	0.952315	-0.007132812499999999	0.245526	-0.0023125	0.961339	7.2630390625	0.243131	19.45003125	0.962988	5.6264609375	0.244066	18.4982265625	0.948158	0.0158125	0.245605	-0.0022187500000000002
0.941621	0.015132812499999999	0.259124	0.003375	0.940069	0.00115625	0.258033	0.0048203125	0.950836	6.804609375	0.255758	18.8220703125	0.943343	-0.0056875	0.262054	0.0010625	0.94267	-0.0009609375000000001	0.255205	0.0038593749999999995	0.950168	7.862718750000001	0.257664	19.3955234375	0.952496	6.2707734375	0.258478	18.4553203125	0.943322	-0.024492187500000002	0.255318	-0.019085937499999997
0.927283	0.0043359375	0.268869	0.0024140625	0.930543	0.0106015625	0.272644	-0.019960937499999998	0.936453	7.5403203125000005	0.269285	18.7209296875	0.929834	0.0060703125	0.267105	-0.0069453125	0.928455	-0.00675	0.269737	-0.016585937499999998	0.93863	8.509828125	0.272168	19.379906249999998	0.939042	7.0376328125	0.272908	18.392171875	0.928553	0.0104140625	0.270071	-0.0007734374999999999
0.917382	-0.010796875	0.283728	0.0143671875	0.915976	0.0073281250000000004	0.282433	0.005976562499999999	0.924174	8.1314140625	0.28326	18.6278046875	0.915176	-0.0086796875	0.281586	-0.020828125	0.918626	-0.0015390624999999998	0.284174	-0.0058828125	0.924012	9.286039062499999	0.282093	19.3549296875	0.925168	7.7753671875	0.282629	18.357078124999997	0.918505	0.0018281249999999999	0.284739	-0.019765625000000002
0.907828	-0.0018281249999999999	0.293043	0.00328125	0.901552	0.001734375	0.291922	-0.0001953125	0.914648	8.524289062500001	0.29217	18.5442109375	0.9061	0.005203125	0.295751	0.00896875	0.904062	-0.0010625	0.294102	-0.009640625	0.9121	9.905765624999999	0.296346	19.308171875	0.913195	8.361648437500001	0.292204	18.314460937499998	0.903795	0.011859375	0.294365	0.00115625
0.892629	0.0021171874999999997	0.302611	0.00125	0.896491	0.0053046875	0.30645	0.0024140625	0.899147	9.2137265625	0.305864	18.4564765625	0.896913	0.0056875	0.305119	0.00684375	0.894677	-0.000484375	0.308667	0.0133046875	0.900046	10.488765625	0.305933	19.265171875	0.901564	8.91215625	0.306552	18.243796874999997	0.893693	-0.0020234375	0.30426	-0.00790625
0.87838	0.0065546875	0.321971	-0.009156250000000001	0.882186	-0.0075234375	0.316621	0.016484375	0.886248	9.7276953125	0.314948	18.38359375	0.877298	-0.005015625	0.319418	0.0109921875	0.880182	0.030078125	0.318301	-0.01571875	0.890714	10.882320312500001	0.31568	19.241359375	0.889347	9.455625	0.316218	18.181992187499997	0.878689	0.005203125	0.318884	0.005976562499999999
