Voltage Range: 1.2, , 
Voltage Step Size: 0.01, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
0.5,0.504,0
0.5,0.5,0.1
0.5,0.504,0.1
0.5,0.504,0.1
0.5,0.5,0.1
0.5,0.5,0.1
0.5,0.504,0
0.5,0.504,0.1
0.5,0.5,0
0.49,0.492,0.1
0.49,0.492,0
0.49,0.492,0.1
0.49,0.492,0.1
0.49,0.492,0
0.49,0.492,0.1
0.49,0.492,0.1
0.49,0.492,0.1
0.49,0.492,0.1
0.49,0.496,0
0.49,0.492,0.1
0.48,0.48,0.1
0.48,0.48,0.1
0.48,0.48,0
0.48,0.48,0.1
0.48,0.48,0.1
0.48,0.484,0.1
0.48,0.484,0.1
0.48,0.484,0
0.48,0.484,0.1
0.48,0.484,0.1
0.48,0.484,0.1
0.47,0.472,0.1
0.47,0.472,0.1
0.47,0.472,0.1
0.47,0.472,0.1
0.47,0.472,0.1
0.47,0.472,0.1
0.47,0.472,0.1
0.47,0.472,0.1
0.47,0.472,0.1
0.47,0.472,0
0.47,0.472,0.1
0.46,0.464,0.1
0.46,0.464,0.1
0.46,0.46,0.1
0.46,0.464,0.1
0.46,0.46,0.1
0.46,0.464,0.1
0.46,0.46,0
0.46,0.464,0.1
0.46,0.46,0.1
0.46,0.46,0.1
0.46,0.46,0.1
0.45,0.452,0.1
0.45,0.452,0.1
0.45,0.452,0
0.45,0.452,0.1
0.45,0.452,0.1
0.45,0.452,0.1
0.45,0.452,0.1
0.45,0.452,0.1
0.45,0.452,0
0.45,0.452,0
0.45,0.452,0.1
0.44,0.44,0.1
0.44,0.444,0.1
0.44,0.444,0.1
0.44,0.444,0.1
0.44,0.444,0.1
0.44,0.444,0
0.44,0.444,0.1
0.44,0.444,0.1
0.44,0.444,0.1
0.44,0.444,0.1
0.44,0.444,0.1
0.43,0.432,0.1
0.43,0.432,0.1
0.43,0.432,0.1
0.43,0.432,0.1
0.43,0.432,0.1
0.43,0.432,0.1
0.43,0.432,0.1
0.43,0.432,0.1
0.43,0.432,0.1
0.43,0.432,0
0.43,0.432,0
0.42,0.42,0.1
0.42,0.42,0.1
0.42,0.424,0.1
0.42,0.42,0.1
0.42,0.424,0.1
0.42,0.42,0.1
0.42,0.424,0.1
0.42,0.42,0.1
0.42,0.42,0.1
0.42,0.424,0.1
0.42,0.42,0
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0.1
0.41,0.412,0
0.4,0.4,0.1
0.4,0.4,0.1
0.4,0.4,0.1
0.4,0.404,0.1
0.4,0.4,0.1
0.4,0.4,0
0.4,0.4,0.1
0.4,0.404,0.1
0.4,0.4,0
0.4,0.4,0.1
0.4,0.404,0
0.39,0.392,0
0.39,0.392,0.1
0.39,0.388,0.1
0.39,0.392,0.1
0.39,0.392,0.1
0.39,0.392,0.1
0.39,0.392,0.1
0.39,0.392,0.1
0.39,0.392,0.1
0.39,0.392,0.1
0.39,0.392,0.1
0.38,0.38,0.1
0.38,0.38,0.1
0.38,0.384,0.1
0.38,0.38,0.1
0.38,0.38,0.1
0.38,0.38,0.1
0.38,0.38,0.1
0.38,0.384,0.1
0.38,0.38,0.1
0.38,0.38,0.1
0.38,0.38,0.1
0.37,0.372,0.1
0.37,0.372,0.1
0.37,0.372,0.1
0.37,0.372,0.1
0.37,0.372,0.1
0.37,0.372,0.1
0.37,0.372,0.1
0.37,0.372,0.1
0.37,0.368,0.1
0.37,0.372,0.1
0.37,0.372,0.1
0.36,0.36,0.1
0.36,0.36,0.1
0.36,0.36,0.1
0.36,0.36,0
0.36,0.36,0
0.36,0.36,0.1
0.36,0.364,0.1
0.36,0.36,0.1
0.36,0.36,0.1
0.36,0.36,0.1
0.36,0.36,0.1
0.35,0.352,0
0.35,0.352,0.1
0.35,0.352,0
0.35,0.352,0.1
0.35,0.352,0.1
0.35,0.352,0.1
0.35,0.352,0.2
0.35,0.352,0.1
0.35,0.352,0.1
0.35,0.348,0.1
0.35,0.352,0.1
0.34,0.34,0.1
0.34,0.34,0.1
0.34,0.34,0
0.34,0.34,0.1
0.34,0.34,0.1
0.34,0.34,0.1
0.34,0.34,0.1
0.34,0.34,0.1
0.34,0.34,0.1
0.34,0.34,0.1
0.34,0.34,0.1
0.33,0.332,0
0.33,0.328,0.1
0.33,0.332,0.1
0.33,0.328,0.1
0.33,0.332,0.1
0.33,0.332,0.1
0.33,0.332,0.1
0.33,0.332,0.1
0.33,0.332,0.1
0.33,0.332,0.1
0.33,0.332,0.1
0.32,0.32,0.1
0.32,0.32,0.1
0.32,0.32,0.1
0.32,0.32,0.1
0.32,0.32,0.1
0.32,0.32,0.1
0.32,0.32,0
0.32,0.32,0.1
0.32,0.32,0
0.32,0.32,0
0.32,0.32,0.1
0.31,0.312,0.1
0.31,0.312,0.1
0.31,0.312,0.1
0.31,0.312,0
0.31,0.312,0.1
0.31,0.312,0.1
0.31,0.312,0.2
0.31,0.312,0.1
0.31,0.312,0.1
0.31,0.312,0.1
0.31,0.312,0
0.3,0.3,0.1
0.3,0.3,0.1
0.3,0.3,0
0.3,0.3,0.1
0.3,0.3,0.1
0.3,0.304,0.1
0.3,0.3,0
0.3,0.3,0
0.3,0.3,0.1
0.3,0.3,0.1
0.3,0.3,0.1
0.29,0.292,0.1
0.29,0.292,0.1
0.29,0.292,0.1
0.29,0.292,0.1
0.29,0.292,0.1
0.29,0.288,0.1
0.29,0.292,0.1
0.29,0.292,0.1
0.29,0.292,0
0.29,0.292,0.1
0.29,0.292,0.1
0.28,0.28,0.1
0.28,0.28,0.1
0.28,0.28,0.1
0.28,0.28,0.1
0.28,0.28,0.1
0.28,0.284,0.1
0.28,0.28,0.1
0.28,0.28,0.1
0.28,0.28,0.1
0.28,0.28,0.1
0.28,0.28,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.27,0.272,0.1
0.26,0.26,0.1
0.26,0.26,0
0.26,0.26,0
0.26,0.26,0.1
0.26,0.26,0.1
0.26,0.264,0.1
0.26,0.26,0.1
0.26,0.26,0.1
0.26,0.26,0.1
0.26,0.26,0.1
0.26,0.26,0.1
0.25,0.252,0.1
0.25,0.252,0.1
0.25,0.252,0.1
0.25,0.252,0.1
0.25,0.252,0.1
0.25,0.252,0
0.25,0.252,0.1
0.25,0.252,0.1
0.25,0.252,0.1
0.25,0.252,0.1
0.25,0.252,0.1
0.24,0.24,0.1
0.24,0.24,0
0.24,0.24,0.1
0.24,0.24,0.1
0.24,0.24,0.1
0.24,0.24,0
0.24,0.24,0.1
0.24,0.24,0.1
0.24,0.24,0.1
0.24,0.24,0.1
0.24,0.24,0.1
0.23,0.232,0.1
0.23,0.232,0.1
0.23,0.232,0.1
0.23,0.232,0
0.23,0.232,0.1
0.23,0.232,0.1
0.23,0.232,0.1
0.23,0.232,0.1
0.23,0.232,0.1
0.23,0.232,0.1
0.23,0.232,0.1
0.22,0.224,0.1
0.22,0.22,0
0.22,0.22,0.1
0.22,0.22,0.1
0.22,0.22,0.1
0.22,0.22,0
0.22,0.22,0.1
0.22,0.224,0.1
0.22,0.22,0.1
0.22,0.22,0.1
0.22,0.224,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.212,0.1
0.21,0.208,0.1
0.2,0.2,0.1
0.2,0.204,0
0.2,0.2,0.1
0.2,0.2,0.1
0.2,0.2,0.1
