D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0
30.24262	0.015272	0.0007265625	30.24262	-0.01205	-0.0043359375	30.24262	0.716475	14.5878359375	30.24262	-0.012075	0.0048203125	30.24262	-0.009072	0.0002890625	30.24262	0.710415	16.005273437499998	30.24262	0.739483	14.271171875	30.24262	0.000771	0.011953124999999998
30.527239	0.000353	0.0008671875	30.527239	-0.027244	-0.0023125	30.527239	0.718574	14.566765625	30.527239	-0.004469	-0.009546875	30.527239	-0.052115	0.0053046875	30.527239	0.708426	16.041953125	30.527239	0.735844	14.367390625	30.527239	0.013175	0.01234375
31.150221	-0.014773	0.015421875	31.150221	-0.087159	-0.01146875	31.150221	0.722341	14.4796640625	31.150221	0.01065	-0.007132812499999999	31.150221	-0.01907	-0.0088203125	31.150221	0.708403	16.0341953125	31.150221	0.733948	14.408890625	31.150221	0.027822	0.0013046874999999999
31.675327	0.005348	0.00559375	31.675327	-0.077546	0.0014921875	31.675327	0.720609	14.523335937499999	31.675327	-0.04048	-0.0007734374999999999	31.675327	-0.006596	0.0042890625	31.675327	0.712078	15.959328125	31.675327	0.737762	14.3269921875	31.675327	0.003255	0.0098359375
32.20248	-0.002141	0.005015625	32.20248	-0.032199	-0.0020703124999999997	32.20248	0.722647	14.4900234375	32.20248	-0.025233	-0.000578125	32.20248	-0.011606	0.0049140625	32.20248	0.708322	16.03834375	32.20248	0.732212	14.452617187500001	32.20248	0.027673	-0.019234375
32.734203	-0.004854	-0.011523437499999999	32.734203	-0.007076	-0.0009140624999999999	32.734203	0.718691	14.5754921875	32.734203	0.003179	-0.003328125	32.734203	0.038468	-0.00390625	32.734203	0.712034	15.9505546875	32.734203	0.731986	14.4355546875	32.734203	0.010624	0.00115625
33.011471	-0.044967	-0.007421875	33.011471	0.002898	0.002890625	33.011471	0.71865	14.56271875	33.011471	-0.014774	0.020820312499999997	33.011471	0.033929	-0.0025078125	33.011471	0.711917	15.951617187499998	33.011471	0.732148	14.4441328125	33.011471	0.052273	-0.023328124999999998
33.536186	-0.069576	0.0173046875	33.536186	0.042808	0.006171875	33.536186	0.716844	14.6119375	33.536186	0.01576	-0.0007265625	33.536186	-0.006661	0.0087734375	33.536186	0.712014	15.9463671875	33.536186	0.737941	14.342898437499999	33.536186	0.017909	-0.008390625
34.062702	-0.019642	0.00125	34.062702	0.025381	0.00328125	34.062702	0.714914	14.6530546875	34.062702	-0.004498	0.0038046875	34.062702	0.000825	-0.015953125	34.062702	0.712133	15.949351562499999	34.062702	0.741981	14.2765234375	34.062702	-0.038948	-0.0092578125
34.588177	0.02516	0.003328125	34.588177	0.00279	0.0020703124999999997	34.588177	0.716837	14.6115	34.588177	-0.004656	0.0001953125	34.588177	-0.024373	-0.00453125	34.588177	0.712037	15.9470859375	34.588177	0.741836	14.257484375	34.588177	-0.091004	0.00159375
35.117889	0.055238	-0.003375	35.117889	-0.027107	-0.0065546875	35.117889	0.716762	14.615210937499999	35.117889	-0.007268	-0.011234375	35.117889	-0.082037	-0.008624999999999999	35.117889	0.713741	15.908140625	35.117889	0.745518	14.1866171875	35.117889	-0.041385	0.001640625
35.642605	0.030308	0.0009140624999999999	35.642605	-0.067339	0.0064140625	35.642605	0.714875	14.651515625	35.642605	-0.067823	-0.0036640625000000002	35.642605	-0.071813	0.004671875	35.642605	0.71203	15.942171875000001	35.642605	0.741636	14.2531875	35.642605	0.000511	0.0048203125
36.173019	0.005153	-0.0037109375	36.173019	-0.024623	0.0047265625	36.173019	0.714867	14.64303125	36.173019	-0.053099	-0.0031328124999999997	36.173019	-0.029185	0.0032265625	36.173019	0.71378	15.9048125	36.173019	0.739843	14.303421875	36.173019	0.0524	-0.00346875
36.698765	0.032723	0.00053125	36.698765	0.007791	-0.0030859375	36.698765	0.716784	14.6072578125	36.698765	-0.007052	0.011710937499999999	36.698765	0.015924	0.0088671875	36.698765	0.711918	15.956390625000001	36.698765	0.739875	14.3054453125	36.698765	0.030237	0.002890625
37.226288	0.025276	0.0047265625	37.226288	0.037687	0.0052578124999999995	37.226288	0.718655	14.57409375	37.226288	0.02872	0.009210937499999999	37.226288	0.048756	-0.0044375000000000005	37.226288	0.71162	15.931804687499998	37.226288	0.73958	14.2964765625	37.226288	0.010572	0.00346875
37.509865	0.025417	-0.003953125	37.509865	0.088017	0.010796875	37.509865	0.718691	14.5737109375	37.509865	0.000674	-0.00125	37.509865	0.013361	-0.0124375	37.509865	0.711775	15.943421874999999	37.509865	0.739881	14.3078046875	37.509865	0.003137	0.011375
38.034164	-0.007362	0.0063593750000000004	38.034164	0.120566	0.0042890625	38.034164	0.712886	14.6884375	38.034164	-0.009724	0.005640625	38.034164	0.005907	0.00053125	38.034164	0.713633	15.897679687499998	38.034164	0.734188	14.42065625	38.034164	-0.036448	-0.0026015625
38.566231	0.012647	0.005734375	38.566231	0.107929	-0.0024140625	38.566231	0.716689	14.613476562499999	38.566231	0.041263	0.00115625	38.566231	-0.013978	-0.0026015625	38.566231	0.711741	15.936820312499998	38.566231	0.734145	14.4033515625	38.566231	-0.019096	0.005109374999999999
39.096546	-0.007498	-0.0048203125	39.096546	0.062656	-0.0013046874999999999	39.096546	0.720653	14.533265625	39.096546	0.082269	-0.0071796875	39.096546	0.00359	0.0133046875	39.096546	0.713655	15.892039062499999	39.096546	0.734358	14.442109375	39.096546	0.005417	-0.0047265625
39.629414	-0.039901	0.0083359375	39.629414	0.035234	0.0001484375	39.629414	0.718907	14.582578125	39.629414	0.031097	0.005015625	39.629414	0.053863	0.006601562500000001	39.629414	0.711848	15.9362890625	39.629414	0.732252	14.473492187499998	39.629414	-0.021741	0.0099765625
40.157032	0.010346	-0.000578125	40.157032	0.010206	-0.00684375	40.157032	0.716849	14.6265390625	40.157032	0.020972	-0.0064140625	40.157032	0.036159	0.0014453125	40.157032	0.711875	15.951234375	40.157032	0.732224	14.47271875	40.157032	0.002878	-0.0072812499999999995
40.678638	0.082972	0.0050625	40.678638	-0.049782	-0.00284375	40.678638	0.718752	14.57853125	40.678638	-0.030247	0.0026484374999999998	40.678638	-0.024203	-0.0138359375	40.678638	0.708274	16.020359375	40.678638	0.732283	14.457296874999999	40.678638	-0.071208	-0.003328125
41.204887	0.070152	-0.0041953125	41.204887	-0.034522	0.0009140624999999999	41.204887	0.714984	14.667953124999999	41.204887	-0.0123	-0.00746875	41.204887	-0.071776	0.0088203125	41.204887	0.711636	15.929875	41.204887	0.734154	14.416609375	41.204887	-0.061327	0.0013046874999999999
