D1__testMartin__p1__Dark__Rv__scan0	D1__testMartin__p1__Dark__Rv__scan0	D1__testMartin__p1__Dark__Fw__scan0	D1__testMartin__p1__Dark__Fw__scan0	D1__testMartin__p2__Dark__Rv__scan0	D1__testMartin__p2__Dark__Rv__scan0	D1__testMartin__p2__Dark__Fw__scan0	D1__testMartin__p2__Dark__Fw__scan0	D1__testMartin__p3__Dark__Rv__scan0	D1__testMartin__p3__Dark__Rv__scan0	D1__testMartin__p3__Dark__Fw__scan0	D1__testMartin__p3__Dark__Fw__scan0	D1__testMartin__p4__Dark__Rv__scan0	D1__testMartin__p4__Dark__Rv__scan0	D1__testMartin__p4__Dark__Fw__scan0	D1__testMartin__p4__Dark__Fw__scan0	D1__testMartin__p5__Dark__Rv__scan0	D1__testMartin__p5__Dark__Rv__scan0	D1__testMartin__p5__Dark__Fw__scan0	D1__testMartin__p5__Dark__Fw__scan0	D1__testMartin__p6__Dark__Rv__scan0	D1__testMartin__p6__Dark__Rv__scan0	D1__testMartin__p6__Dark__Fw__scan0	D1__testMartin__p6__Dark__Fw__scan0	D1__testMartin__p7__Dark__Rv__scan0	D1__testMartin__p7__Dark__Rv__scan0	D1__testMartin__p7__Dark__Fw__scan0	D1__testMartin__p7__Dark__Fw__scan0	D1__testMartin__p8__Dark__Rv__scan0	D1__testMartin__p8__Dark__Rv__scan0	D1__testMartin__p8__Dark__Fw__scan0	D1__testMartin__p8__Dark__Fw__scan0
1.035146	0.0020234375	0.165608	-0.00115625	1.037304	-0.007132812499999999	0.168484	0.0001953125	1.044592	-6.2668203125	0.163015	-0.402609375	1.037621	-0.00038281249999999996	0.165315	0.0038593749999999995	1.039639	0.018031250000000002	0.165453	-0.005109374999999999	1.042851	-3.061828125	0.163734	0.090625	1.044838	-8.0808046875	0.166764	-0.15059375	1.037408	-0.005015625	0.167095	0.00453125
1.025269	-0.0014453125	0.175949	-0.0081015625	1.027987	0.0069453125	0.173619	-0.0001953125	1.031627	-5.787179687499999	0.17736	-0.449375	1.023928	0.0103125	0.175542	0.0030859375	1.020435	0.0022187500000000002	0.175778	-0.0008671875	1.029611	-2.6061875	0.178387	0.06690625	1.032617	-7.525859375	0.176908	-0.1395078125	1.027634	-0.0121484375	0.176853	0.0013515625
1.015584	0.0075234375	0.190894	-0.000484375	1.008096	-0.0218828125	0.193434	0.0015390624999999998	1.018099	-5.3245000000000005	0.186913	-0.46084375	1.01436	0.0006718750000000001	0.190788	-0.012054687500000001	1.010522	-0.00675	0.190947	-0.003953125	1.015829	-2.2148515625	0.18892	0.097859375	1.019539	-6.9653203125	0.186532	-0.1654453125	1.008067	-0.0092578125	0.186864	0.0065546875
0.995956	0.003375	0.200994	0.0026015625	1.003712	0.0019296874999999998	0.198675	0.0001953125	1.004269	-4.938859375	0.201233	-0.5344062500000001	1.000419	-0.009640625	0.201079	0.005976562499999999	1.000674	0.0	0.201228	0.026320312499999998	1.00512	-1.933625	0.198667	0.086671875	1.007296	-6.4846171875	0.201758	-0.18973437499999998	1.00313	0.0211171875	0.201639	-0.0121484375
0.99117	0.0104140625	0.210974	-0.0087734375	0.989248	-0.00790625	0.213499	-0.00790625	0.993267	-4.6702578125	0.211059	-0.5533984375	0.990999	0.0109921875	0.211201	-0.004242187499999999	0.991544	0.009156250000000001	0.210865	-0.004046875	0.994267	-1.6628984375	0.213596	0.09409374999999999	0.993571	-6.0771796875	0.210774	-0.2231953125	0.988251	-0.02034375	0.211575	-0.004046875
0.976165	-0.008578125	0.225682	0.001734375	0.974354	-0.0018281249999999999	0.223302	0.011859375	0.982143	-4.4095625	0.224868	-0.6121171875	0.97679	-0.00675	0.226608	0.016390625	0.977062	0.0092578125	0.220858	0.0001953125	0.97931	-1.3247890625	0.223408	0.09226562499999999	0.983605	-5.749	0.224763	-0.2079609375	0.978626	0.018609375	0.221264	-0.0177421875
0.966891	0.008578125	0.235191	0.0076171875	0.964493	-0.011664062499999999	0.23387	-0.00559375	0.967004	-4.1020078125	0.233874	-0.6119218750000001	0.962899	0.0201484375	0.236976	0.0037578125	0.9675	0.00790625	0.241044	-0.0170625	0.967526	-1.1291640625	0.238427	0.07009375000000001	0.96919	-5.43546875	0.23395	-0.2397734375	0.963591	0.0013515625	0.236881	0.000578125
0.951747	0.0053984375	0.245117	0.010023437500000001	0.955029	0.0077109375	0.248593	0.009640625	0.955016	-3.8909609375	0.24741	-0.670828125	0.95333	-0.0111875	0.24726	0.0001953125	0.952866	-0.0136875	0.246419	0.00346875	0.959732	-0.9947734375	0.243532	0.090625	0.958757	-5.1487421875	0.247929	-0.2686015625	0.953866	0.0076171875	0.246304	0.00675
0.941964	0.00790625	0.259327	0.0133046875	0.940331	-0.0098359375	0.262921	0.0023125	0.947174	-3.7733437499999996	0.25649	-0.6981171875	0.944077	-0.004625	0.257107	-0.0309453125	0.943251	-0.00038281249999999996	0.260489	0.0001953125	0.943599	-0.7574062500000001	0.263963	0.1015234375	0.944222	-4.8197890625	0.262347	-0.28826562499999997	0.938969	-0.0014453125	0.260801	0.004242187499999999
0.927229	0.0090625	0.273947	0.002890625	0.930831	0.014656250000000001	0.267757	0.00665625	0.930733	-3.5487031250000003	0.270254	-0.7373515625	0.93042	0.017351562499999997	0.273059	-0.008390625	0.923838	-0.011664062499999999	0.270525	0.01475	0.930998	-0.6301406249999999	0.268738	0.08715624999999999	0.9332	-4.5874375	0.266967	-0.26156250000000003	0.929075	0.0133046875	0.275662	0.01234375
